Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,MSFT,2015-03-13,-0.010004764,-0.029664019,-0.029952057,100
Market Model,MSFT,2017-09-13,0.0001337614,-0.004768025,-0.00480995,100
Market Model,MSFT,2016-09-14,0.0024539877,0.0113282248,0.0113263091,100
Market Model,MSFT,2011-11-15,-0.023969202,-0.010325801,-0.010364617,100
Market Model,MSFT,2016-11-17,0.0251401393,0.0221986235,0.0222956197,100
Market Model,MSFT,2015-09-17,-0.011368804,-0.001525997,-0.00145807,100
Market Model,MSFT,2013-04-18,0.0274421816,0.0449812865,0.0448347111,100
Market Model,MSFT,2008-07-18,-0.059427733,-0.066670347,-0.066797662,100
Market Model,MSFT,2015-11-18,0.0100733267,-0.011584581,-0.011699641,100
Market Model,MSFT,2012-10-18,-0.02882333,-0.010237815,-0.010225827,100
Market Model,MSFT,2013-07-19,-0.104364857,-0.113891504,-0.115329446,100
Market Model,MSFT,2019-07-19,0.0158508843,0.0141612794,0.014239633,100
Market Model,MSFT,2012-06-19,0.0303131246,0.0186824398,0.0186593635,100
Market Model,MSFT,2014-11-19,-0.009103405,-0.016181916,-0.016293951,100
Market Model,MSFT,2012-04-20,0.0314707771,0.0408793774,0.0402985744,100
Market Model,MSFT,2012-01-20,0.0531349628,0.0455781265,0.0453777909,100
Market Model,MSFT,2007-07-20,0.0087322122,0.0145917012,0.0145019379,100
Market Model,MSFT,2012-07-20,-0.038423645,-0.026707616,-0.026536846,100
Market Model,MSFT,2016-07-20,0.0340993328,0.039060128,0.0381556097,100
Market Model,MSFT,2018-07-20,0.0271118721,0.0277006174,0.0277659111,100
Market Model,MSFT,2014-05-20,0.0130554858,0.0073566042,0.0073310085,100
Market Model,MSFT,2013-11-20,0.0130384393,0.0087446285,0.008775111,100
Market Model,MSFT,2013-09-20,-0.017406963,-0.012423954,-0.012645458,100
Market Model,MSFT,2006-07-21,0.0256410256,0.0340924837,0.0333368998,100
Market Model,MSFT,2011-07-21,-0.000363108,-0.00765872,-0.00791875,100
Market Model,MSFT,2017-07-21,-0.003520173,-0.004374445,-0.004400419,100
Market Model,MSFT,2011-10-21,0.0022115739,-0.033596916,-0.033996812,100
Market Model,MSFT,2016-10-21,0.0603163567,0.0555538242,0.0561931625,100
Market Model,MSFT,2016-04-22,-0.062601187,-0.061689286,-0.06235771,100
Market Model,MSFT,2009-01-22,-0.069264069,-0.095189636,-0.100816291,100
Market Model,MSFT,2015-07-22,-0.017263427,0.0008062685,0.000062671,100
Market Model,MSFT,2010-04-23,-0.007085408,-0.014212679,-0.014297892,100
Market Model,MSFT,2010-07-23,0.0390127389,0.0020722927,0.0019343661,100
Market Model,MSFT,2014-07-23,-0.009702242,-0.017354986,-0.017378216,100
Market Model,MSFT,2020-07-23,-0.035688623,-0.027424286,-0.027791817,100
Market Model,MSFT,2017-05-23,0.0159550894,0.0055807254,0.0056058179,100
Market Model,MSFT,2009-10-23,0.079006772,0.0863852541,0.0877778112,100
Market Model,MSFT,2015-10-23,0.1493644068,0.113335161,0.118027157,100
Market Model,MSFT,2009-04-24,0.0862619808,0.0707489168,0.0688624733,100
Market Model,MSFT,2015-04-24,0.1173665232,0.1205720133,0.1218387826,100
Market Model,MSFT,2014-01-24,0.0027831895,0.0351853962,0.0344597831,100
Market Model,MSFT,2009-07-24,-0.068145161,-0.094844821,-0.096726464,100
Market Model,MSFT,2008-10-24,-0.016256386,0.054420575,0.0520321349,100
Market Model,MSFT,2014-10-24,0.0344749887,0.0185475291,0.0186643181,100
Market Model,MSFT,2019-10-24,0.0319718413,0.0149954277,0.015178816,100
Market Model,MSFT,2008-04-25,-0.078219396,-0.09292712,-0.092219254,100
Market Model,MSFT,2014-04-25,0.0297304107,0.0342272986,0.0343879373,100
Market Model,MSFT,2019-04-25,0.0354751276,0.0313471672,0.0314307754,100
Market Model,MSFT,2008-01-25,0.0247416223,0.0081527626,0.0076588166,100
Market Model,MSFT,2013-01-25,0.0109018472,0.0067832619,0.0068141119,100
Market Model,MSFT,2013-10-25,0.0536137441,0.0452255098,0.044869763,100
Market Model,MSFT,2018-10-25,-0.010545791,0.0374716089,0.0353996249,100
Market Model,MSFT,2007-01-26,-0.018012223,-0.01440126,-0.014445674,100
Market Model,MSFT,2007-10-26,0.10624,0.0901305675,0.0907654602,100
Market Model,MSFT,2007-04-27,0.0327699207,0.0433722596,0.0432600373,100
Market Model,MSFT,2018-04-27,0.0131080056,0.009031548,0.0086078715,100
Market Model,MSFT,2006-01-27,0.0606060606,0.0457149465,0.0462370194,100
Market Model,MSFT,2015-01-27,-0.126960577,-0.115086954,-0.11145229,100
Market Model,MSFT,2017-01-27,0.0227701005,0.0296020913,0.0294907865,100
Market Model,MSFT,2021-01-27,0.0409532523,0.0715925708,0.072291445,100
Market Model,MSFT,2018-11-27,0.0781022606,0.0153047257,0.016013318,100
Market Model,MSFT,2006-10-27,0.0077711056,0.0103492783,0.0103814575,100
Market Model,MSFT,2017-10-27,0.0668955869,0.0576795117,0.0578856523,100
Market Model,MSFT,2006-04-28,-0.103690037,-0.101361913,-0.102614389,100
Market Model,MSFT,2017-04-28,0.0232935279,0.0223231264,0.0224766184,100
Market Model,MSFT,2011-01-28,-0.036657401,-0.028013619,-0.027994516,100
Market Model,MSFT,2014-05-28,0.0054835494,-0.004730154,-0.0047835,100
Market Model,MSFT,2020-10-28,-0.02551409,-0.000385955,-0.001165652,100
Market Model,MSFT,2011-04-29,-0.027293404,-0.028414891,-0.028600093,100
Market Model,MSFT,2010-01-29,-0.042467139,-0.040072316,-0.039799532,100
Market Model,MSFT,2016-01-29,0.0681374463,0.0249448138,0.0250369343,100
Market Model,MSFT,2017-11-29,0.0035769643,-0.022306924,-0.022767332,100
Market Model,MSFT,2018-11-29,0.0350009334,-0.009329164,-0.009765275,100
Market Model,MSFT,2010-10-29,0.0345489443,0.0369592148,0.037338459,100
Market Model,MSFT,2020-04-30,0.0280313291,0.0398482488,0.0402622106,100
Market Model,MSFT,2020-01-30,0.0288287199,0.0459061032,0.0457600739,100
Market Model,MSFT,2013-05-30,-0.003426613,0.0159652632,0.0159126133,100
Market Model,MSFT,2019-01-31,-0.001554303,-0.041996962,-0.043301889,100
Market Model,XOM,2013-08-01,-0.019827311,-0.031803388,-0.031711025,100
Market Model,XOM,2007-02-01,0.0154590671,0.0030785463,0.003034025,100
Market Model,XOM,2008-02-01,0.0018761726,-0.027398154,-0.027460857,100
Market Model,XOM,2010-02-01,0.0307881773,0.0203912556,0.0204662207,100
Market Model,XOM,2013-02-01,-0.01676409,-0.015558411,-0.015390313,100
Market Model,XOM,2017-06-01,-0.01972873,-0.026332331,-0.02627548,100
Market Model,XOM,2017-03-01,0.0215844984,0.0199810792,0.0200953273,100
Market Model,XOM,2008-05-01,-0.023749864,-0.040851478,-0.041329885,100
Market Model,XOM,2014-05-01,0.0055199606,0.0026475078,0.0025530601,100
Market Model,XOM,2020-05-01,-0.054361568,-0.003609844,-0.006198241,100
Market Model,XOM,2007-11-01,-0.03522054,-0.019784486,-0.019234254,100
Market Model,XOM,2012-11-01,-0.003862282,-0.007225679,-0.007266095,100
Market Model,XOM,2019-11-01,0.0583284111,0.0526348413,0.0534252561,100
Market Model,XOM,2019-08-02,-0.054868209,-0.017536045,-0.016962592,100
Market Model,XOM,2015-02-02,0.0533226764,0.041315654,0.0421520517,100
Market Model,XOM,2016-02-02,0.0080924855,0.0270926922,0.0254753712,100
Market Model,XOM,2019-02-04,0.0315229258,0.0233077763,0.0229817881,100
Market Model,XOM,2018-11-02,0.0245983936,0.0134375629,0.0135619705,100
Market Model,XOM,2018-02-05,-0.120354777,-0.103977545,-0.099249369,100
Market Model,XOM,2021-02-03,0.0759127337,0.0585525015,0.0601891114,100
Market Model,XOM,2019-09-04,0.0261390187,0.0125551933,0.0127694258,100
Market Model,XOM,2015-03-05,-0.02271171,-0.000836102,-0.000780461,100
Market Model,XOM,2014-03-06,-0.015851637,-0.017336169,-0.017700146,100
Market Model,XOM,2013-03-07,-0.00714206,-0.0152229,-0.015266232,100
Market Model,XOM,2018-03-07,-0.028189327,-0.032037584,-0.031962319,100
Market Model,XOM,2012-03-08,-0.018169113,-0.041730013,-0.041828628,100
Market Model,XOM,2012-12-11,0.0095936795,0.0013412239,0.0013381739,100
Market Model,XOM,2019-06-18,0.0130464022,0.0008091053,0.0007578201,100
Market Model,XOM,2013-04-25,-0.014557671,-0.015863614,-0.015863749,100
Market Model,XOM,2007-04-26,0.0223918575,0.0122898179,0.0123601678,100
Market Model,XOM,2012-04-26,-0.002664813,-0.025418562,-0.025626629,100
Market Model,XOM,2019-04-26,-0.021893346,-0.025334275,-0.025349107,100
Market Model,XOM,2007-07-26,-0.057793923,-0.014986512,-0.015528274,100
Market Model,XOM,2012-07-26,0.0339323717,0.0068180463,0.0070123702,100
Market Model,XOM,2006-10-26,0.0224638718,0.0162788647,0.0164034639,100
Market Model,XOM,2006-04-27,-0.013604378,-0.01695665,-0.017068573,100
Market Model,XOM,2018-04-27,-0.022012579,-0.020127179,-0.020704661,100
Market Model,XOM,2020-05-27,0.0098654709,-0.00660842,-0.007301135,100
Market Model,XOM,2011-10-27,0.0256797583,-0.016459122,-0.016713969,100
